,response_me,essentiality_me,response_m,essentiality_m,true_essentiality
BSU23280,-1.0,e,-2.419128797109161e-10,0,0
BSU23610,0.0,0,-5.121403952830532e-10,0,0
BSU23760,0.0,0,-1.9329043197563803e-10,0,0
BSU23770,0.0,0,-7.036172600383136e-11,0,0
BSU23800,0.0,0,0.0,0,0
BSU23850,0.0,0,-1.9037585440137395e-10,0,0
BSU23920,0.0,0,0.0,0,0
BSU23860,0.0,0,-3.697036069366788e-10,0,0
BSU23960,0.0,0,-2.152557002954592e-10,0,0
BSU23970,0.0,0,-2.152557002954592e-10,0,0
BSU23980,0.0,0,-2.152557002954592e-10,0,0
BSU24070,-9.376025502789367e-06,0,-4.16602248205935e-10,0,0
BSU24090,-9.376025502789367e-06,0,0.0,0,0
BSU24120,0.0,0,-1.3138327495383037e-10,0,0
BSU23840,-1.0,e,,,e
BSU24130,0.0,0,-2.685662945862165e-10,0,0
BSU24030,-1.0,e,-1.0,e,0
BSU24140,0.0,0,-1.3425173691117772e-10,0,0
BSU24150,0.0,0,0.0,0,0
BSU24040,-1.0,e,-1.0,e,0
BSU24050,-1.0,e,-1.0,e,0
BSU24160,0.0,0,0.0,0,0
BSU24170,-0.0007219539637147813,0,-0.00082955738714317,0.0,0
BSU24060,-1.0,e,-1.0,e,0
BSU24080,-1.0,e,-0.02419197736941537,-,0
BSU24740,0.0,0,0.0,0,0
BSU24850,0.0,0,-4.5384319698753683e-10,0,0
BSU24950,0.0,0,0.0,0,0
BSU24960,0.0,0,0.0,0,0
BSU24270,-1.0,e,-1.0,e,e
BSU24280,-1.0,e,-1.0,e,0
BSU24970,0.0,0,0.0,0,0
BSU24980,0.0,0,0.0,0,0
BSU24990,0.0,0,0.0,0,0
BSU24340,-1.0,e,-1.0,e,e
BSU24350,-1.0,e,-1.0,e,e
BSU24900,-1.0,e,,,0
BSU24310,-1.0,e,-0.9999999989935976,e,0
BSU25020,0.0,0,-3.3790853605892484e-10,0,0
BSU25300,0.0,0,-2.892013861701263e-10,0,0
BSU25310,0.0,0,0.0,0,0
BSU25420,0.0,0,-3.011994462163037e-10,0,0
BSU25070,-1.0,e,-1.0,e,e
BSU25500,0.0,0,0.0,0,0
BSU25260,-1.0,e,,,e
BSU25160,-1.0,e,-1.0,e,e
BSU25270,-1.0,e,,,e
BSU25580,0.0,0,-2.490462127399e-10,0,0
BSU25290,-1.0,e,,,e
BSU25200,-1.0,e,,,e
BSU25410,-1.0,e,,,0
BSU25710,0.0,0,-4.020005380740416e-10,0,0
BSU25790,0.0,0,0.0,0,0
BSU25900,0.0,0,-4.020005380740416e-10,0,0
BSU26590,0.0,0,-6.447857323243389e-11,0,0
BSU26600,0.0,0,-1.8737316305907258e-10,0,0
BSU25550,-1.0,e,,,0
BSU26640,0.0,0,0.0,0,0
BSU26650,0.0,0,-1.920649565128284e-10,0,0
BSU26690,0.0,0,0.0,0,0
BSU25640,-1.0,e,-1.0,e,e
BSU25760,-1.0,e,,,0
BSU26810,0.0,0,0.0,0,0
