,flux
ACPpds_FWD_BSU19230-MONOMER,0.0
ACPpds_FWD_BSU19230-MONOMER_s,0.0
ACS2_FWD_BSU29680-MONOMER,0.0
ACS2_FWD_BSU29680-MONOMER_s,0.0
ACS_FWD_BSU29680-MONOMER,0.0
ACS_FWD_BSU29680-MONOMER_s,0.0
ACTD2_FWD_CPLX8J2-1,0.002934638167983278
ACTD2_FWD_CPLX8J2-1_s,0.0
ACTNabc1_FWD_CPLX000-4,0.0
ACTNabc1_FWD_CPLX000-4_s,0.0
ACTNabc_FWD_CPLX000-3,0.0
ACTNabc_FWD_CPLX000-3_s,0.0
ACt2r_FWD_BSU38240-MONOMER,0.0
ACt2r_FWD_BSU38240-MONOMER_s,0.0
ACt2r_REV_BSU38240-MONOMER,0.0
ACt2r_REV_BSU38240-MONOMER_s,21.80561930305441
ADADir_FWD_BSU00140-MONOMER,0.0
ADADir_FWD_BSU00140-MONOMER_s,0.0
ADCL_FWD_BSU00760-MONOMER,2.219908721923828e-05
ADCL_FWD_BSU00760-MONOMER_s,0.0
ADCS_FWD_CPLX8J2-29,2.219908721923828e-05
ADCS_FWD_CPLX8J2-29_s,0.0
ADD_FWD_BSU14520-MONOMER_mod_mn2,0.0
ADD_FWD_BSU14520-MONOMER_mod_mn2_s,0.0
ADEt2_FWD_CPLX_dummy,0.0
ADEt2_FWD_CPLX_dummy_s,0.0
ADK1_FWD_BSU01370-MONOMER_mod_mg2,0.6166539012534931
ADK1_FWD_BSU01370-MONOMER_mod_mg2_s,0.0
ADK1_REV_BSU01370-MONOMER_mod_mg2,0.0
ADK1_REV_BSU01370-MONOMER_mod_mg2_s,0.18912173697575754
ADK2_FWD_BSU01370-MONOMER_mod_mg2,0.0
ADK2_FWD_BSU01370-MONOMER_mod_mg2_s,0.0
ADK2_REV_BSU01370-MONOMER_mod_mg2,0.0
ADK2_REV_BSU01370-MONOMER_mod_mg2_s,0.0
ADMDC_FWD_BSU29010-MONOMER,0.0
ADMDC_FWD_BSU29010-MONOMER_s,0.0
ADMDC_REV_BSU29010-MONOMER,0.0
ADMDC_REV_BSU29010-MONOMER_s,0.0
ADNK1_FWD_BSU00140-MONOMER,0.0
ADNK1_FWD_BSU00140-MONOMER_s,0.0
ADNt2_FWD_BSU38710-MONOMER,0.0
ADNt2_FWD_BSU38710-MONOMER_s,0.0
ADNt2_REV_BSU38710-MONOMER,0.0
ADNt2_REV_BSU38710-MONOMER_s,0.002934638167983278
ADPDA_FWD_BSU14190-MONOMER,0.0
ADPDA_FWD_BSU14190-MONOMER_s,0.0
ADPDA_FWD_CPLX8J2-147,0.01952007827357584
ADPDA_FWD_CPLX8J2-147_s,0.00615870425994873
ADPDA_REV_BSU14190-MONOMER,0.0
ADPDA_REV_BSU14190-MONOMER_s,0.0
ADPDA_REV_CPLX8J2-147,0.0
ADPDA_REV_CPLX8J2-147_s,0.0
ADPRDP_FWD_BSU23610-MONOMER,0.0
ADPRDP_FWD_BSU23610-MONOMER_s,-1.3389239169108466e-34
ADPT_FWD_BSU27610-MONOMER_mod_mg2,0.0
ADPT_FWD_BSU27610-MONOMER_mod_mg2_s,0.0
ADSK_FWD_BSU15600-MONOMER,0.0
ADSK_FWD_BSU15600-MONOMER_s,0.0
ADSK_REV_BSU15600-MONOMER,0.0
ADSK_REV_BSU15600-MONOMER_s,0.0
ADSL1r_FWD_BSU06440-MONOMER,0.01444776834686137
ADSL1r_FWD_BSU06440-MONOMER_s,0.0
ADSL1r_REV_BSU06440-MONOMER,0.0
ADSL1r_REV_BSU06440-MONOMER_s,0.0
ADSL2r_FWD_BSU06440-MONOMER,0.016243043498863678
ADSL2r_FWD_BSU06440-MONOMER_s,0.0
ADSL2r_REV_BSU06440-MONOMER,0.0
ADSL2r_REV_BSU06440-MONOMER_s,0.0
ADSS_FWD_BSU40420-MONOMER,0.01444776834686137
ADSS_FWD_BSU40420-MONOMER_s,0.0
AGDC_FWD_BSU35010-MONOMER,0.0
AGDC_FWD_BSU35010-MONOMER_s,0.0
AGMT_FWD_BSU37490-MONOMER_mod_2:mn2,0.0
AGMT_FWD_BSU37490-MONOMER_mod_2:mn2_s,0.0
AGPATr_BS_FWD_BSU09540-MONOMER,0.0
AGPATr_BS_FWD_BSU09540-MONOMER_s,0.009691000477258384
AGPATr_BS_REV_BSU09540-MONOMER,0.0
AGPATr_BS_REV_BSU09540-MONOMER_s,0.0
AGPR_FWD_BSU11190-MONOMER,0.0
AGPR_FWD_BSU11190-MONOMER_s,0.0
AGPR_REV_BSU11190-MONOMER,0.009766183033859361
AGPR_REV_BSU11190-MONOMER_s,0.0
AHCYSNS_FWD_BSU27270-MONOMER,0.0
AHCYSNS_FWD_BSU27270-MONOMER_s,0.0
AHMMPS_1_FWD_BSU08790-MONOMER,0.0
AHMMPS_1_FWD_BSU08790-MONOMER_s,0.0
AHMMPS_1_FWD_CPLX-8354,0.0
AHMMPS_1_FWD_CPLX-8354_s,0.0
AHSERL3_FWD_BSU00730-MONOMER_mod_2:pydx5p,0.0
AHSERL3_FWD_BSU00730-MONOMER_mod_2:pydx5p_s,0.0
AHSERL3_REV_BSU00730-MONOMER_mod_2:pydx5p,0.0
AHSERL3_REV_BSU00730-MONOMER_mod_2:pydx5p_s,0.0
AHSERL4_FWD_BSU00730-MONOMER_mod_2:pydx5p,0.0
AHSERL4_FWD_BSU00730-MONOMER_mod_2:pydx5p_s,0.0
AHSERL4_REV_BSU00730-MONOMER_mod_2:pydx5p,0.0
AHSERL4_REV_BSU00730-MONOMER_mod_2:pydx5p_s,0.0
AICART_FWD_BSU06520-MONOMER,0.022405411812153345
AICART_FWD_BSU06520-MONOMER_s,0.0
AICART_REV_BSU06520-MONOMER,0.0
AICART_REV_BSU06520-MONOMER_s,0.0
AIRC1_FWD_BSU06420-MONOMER,0.016243043498863678
AIRC1_FWD_BSU06420-MONOMER_s,0.0
AIRC1_FWD_BSU06430-MONOMER,0.0
AIRC1_FWD_BSU06430-MONOMER_s,0.0
AKGDH_FWD_CPLX000-5,0.0
AKGDH_FWD_CPLX000-5_s,2.1967551327735153
AKGt2r_FWD_BSU07570-MONOMER,0.0
AKGt2r_FWD_BSU07570-MONOMER_s,1.9417693049577405
AKGt2r_FWD_BSU18540-MONOMER,0.0
AKGt2r_FWD_BSU18540-MONOMER_s,0.0
AKP1_FWD_BSU05740-MONOMER,0.0
AKP1_FWD_BSU05740-MONOMER_s,0.0
AKP1_FWD_BSU09410-MONOMER,2.219908721923828e-05
AKP1_FWD_BSU09410-MONOMER_s,0.0
ALAALAr_FWD_BSU04560-MONOMER,0.0
ALAALAr_FWD_BSU04560-MONOMER_s,0.00615870425994873
ALAALAr_REV_BSU04560-MONOMER,0.0
ALAALAr_REV_BSU04560-MONOMER_s,0.0
ALAD_L_FWD_BSU31930-MONOMER,0.0
ALAD_L_FWD_BSU31930-MONOMER_s,0.0
ALAR_FWD_BSU04640-MONOMER_mod_pydx5p,0.0
ALAR_FWD_BSU04640-MONOMER_mod_pydx5p_s,0.021318926679382323
ALAR_REV_BSU04640-MONOMER_mod_pydx5p,0.0
ALAR_REV_BSU04640-MONOMER_mod_pydx5p_s,0.0
ALATA_L_FWD_BSU31400-MONOMER,0.0
ALATA_L_FWD_BSU31400-MONOMER_s,0.0
ALATA_L_REV_BSU31400-MONOMER,0.014936288697687766
ALATA_L_REV_BSU31400-MONOMER_s,0.04071626799722586
ALAt2r_FWD_BSU02420-MONOMER,0.0
ALAt2r_FWD_BSU02420-MONOMER_s,0.0
ALAt2r_FWD_BSU18120-MONOMER,0.0
